title,company,location,url,source,category,scraped_at
Backend Engineer,Summit Tech Partners,"Alpharetta, GA",https://www.linkedin.com/jobs/view/backend-engineer-at-summit-tech-partners-4364910227?position=47&pageNum=0&refId=qlukxN%2FHoETXnlIWiu%2FWBw%3D%3D&trackingId=EqBUj67RfcsQOemk1N6coA%3D%3D,LinkedIn,test-category,2026-01-29T01:00:32.938166
Python Software Engineer,"CPS, Inc.","New York, NY",https://www.linkedin.com/jobs/view/python-software-engineer-at-cps-inc-4330570856?position=48&pageNum=0&refId=qlukxN%2FHoETXnlIWiu%2FWBw%3D%3D&trackingId=o6VT3NlvEBKQIeGJZk1sbg%3D%3D,LinkedIn,test-category,2026-01-29T01:00:32.938166
"Backend Engineer, Core Technology",Stripe,"Seattle, WA",https://www.linkedin.com/jobs/view/backend-engineer-core-technology-at-stripe-4190707141?position=49&pageNum=0&refId=qlukxN%2FHoETXnlIWiu%2FWBw%3D%3D&trackingId=03a13tzJZLwIE0JXAagXwQ%3D%3D,LinkedIn,test-category,2026-01-29T01:00:32.938166
Python Developer,BeaconFire Inc.,"California, United States",https://www.linkedin.com/jobs/view/python-developer-at-beaconfire-inc-4354265507?position=50&pageNum=0&refId=qlukxN%2FHoETXnlIWiu%2FWBw%3D%3D&trackingId=P3nlivqoMKAcw89PdfnJEA%3D%3D,LinkedIn,test-category,2026-01-29T01:00:32.938166
Python Developer,"Holistic Partners, Inc",United States,https://www.linkedin.com/jobs/view/python-developer-at-holistic-partners-inc-4360045504?position=51&pageNum=0&refId=qlukxN%2FHoETXnlIWiu%2FWBw%3D%3D&trackingId=JsDXJRHHNRy9cDASSTmzYg%3D%3D,LinkedIn,test-category,2026-01-29T01:00:32.938166
Python Developer,BeaconFire Inc.,"New Jersey, United States",https://www.linkedin.com/jobs/view/python-developer-at-beaconfire-inc-4353034504?position=52&pageNum=0&refId=qlukxN%2FHoETXnlIWiu%2FWBw%3D%3D&trackingId=o5or2OUsj7UVAuGcytAvHQ%3D%3D,LinkedIn,test-category,2026-01-29T01:00:32.938166
Python Software Engineer,MORSE Corp,Greater Boston,https://www.linkedin.com/jobs/view/python-software-engineer-at-morse-corp-4347474078?position=53&pageNum=0&refId=qlukxN%2FHoETXnlIWiu%2FWBw%3D%3D&trackingId=sjoR72IJIJM8OiCj2PKdJw%3D%3D,LinkedIn,test-category,2026-01-29T01:00:32.938166
Full Stack Developer,Turnberry Solutions,"Minneapolis, MN",https://www.linkedin.com/jobs/view/full-stack-developer-at-turnberry-solutions-4358434306?position=54&pageNum=0&refId=qlukxN%2FHoETXnlIWiu%2FWBw%3D%3D&trackingId=fia8LCiLMj1Il1IQfVvZ1w%3D%3D,LinkedIn,test-category,2026-01-29T01:00:32.938166
Python Developer,"Pyramid Consulting, Inc","Plano, TX",https://www.linkedin.com/jobs/view/python-developer-at-pyramid-consulting-inc-4358995299?position=55&pageNum=0&refId=qlukxN%2FHoETXnlIWiu%2FWBw%3D%3D&trackingId=NNPUAgXNHlmnQ2tFDlbzNA%3D%3D,LinkedIn,test-category,2026-01-29T01:00:32.938166
Python Developer,Tata Consultancy Services,"Pennington, NJ",https://www.linkedin.com/jobs/view/python-developer-at-tata-consultancy-services-4363464870?position=56&pageNum=0&refId=qlukxN%2FHoETXnlIWiu%2FWBw%3D%3D&trackingId=GIsKkj58ua%2FcPBav9CerEw%3D%3D,LinkedIn,test-category,2026-01-29T01:00:32.938166
Python Developer,BeaconFire Inc.,"New York, United States",https://www.linkedin.com/jobs/view/python-developer-at-beaconfire-inc-4354255601?position=57&pageNum=0&refId=qlukxN%2FHoETXnlIWiu%2FWBw%3D%3D&trackingId=4bsSztgPc7PvVCUFrvi%2FAQ%3D%3D,LinkedIn,test-category,2026-01-29T01:00:32.938166
Python Developer,BeaconFire Inc.,"New Jersey, United States",https://www.linkedin.com/jobs/view/python-developer-at-beaconfire-inc-4352990874?position=58&pageNum=0&refId=qlukxN%2FHoETXnlIWiu%2FWBw%3D%3D&trackingId=XJXB8chuvF4wTWsQrufcgA%3D%3D,LinkedIn,test-category,2026-01-29T01:00:32.938166
Python Software Engineer,"CPS, Inc.","Chicago, IL",https://www.linkedin.com/jobs/view/python-software-engineer-at-cps-inc-4330410851?position=59&pageNum=0&refId=qlukxN%2FHoETXnlIWiu%2FWBw%3D%3D&trackingId=ht%2BOFDfqXUkAJNB5dsSyOA%3D%3D,LinkedIn,test-category,2026-01-29T01:00:32.938166
Python Developer,Strategic Staffing Solutions,"New York, NY",https://www.linkedin.com/jobs/view/python-developer-at-strategic-staffing-solutions-4358425989?position=60&pageNum=0&refId=qlukxN%2FHoETXnlIWiu%2FWBw%3D%3D&trackingId=DbYF%2BMhVq5WQSgWW8YBAKg%3D%3D,LinkedIn,test-category,2026-01-29T01:00:32.938166
